contexte	nb_utilisations	nb_cilbe_n	nb_cible_v	réponse_mod
es mal	1	0	1	partie
peau de	2	2	0	n
{ ils	21	0	10	sont
enlever autre	1	1	0	n
rouges qui	1	0	1	v
oh+la+la ça	1	0	1	c'
jouer avec	2	0	0	les
était un	3	3	0	n
sinon je	1	1	0	v
il demande	1	0	0	comment
une histoire	1	0	1	avec
fort pour	1	0	1	v
que le	10	8	0	n
y+a Mar	1	0	0	elle
le mal	1	0	1	à
chanson de	1	0	0	la
mets sur	1	0	0	le
peut+être comme	1	1	0	ça
derrière d'	1	1	0	v
me l'	4	0	4	as
tu pourrais	4	0	3	v
abîmer les	1	1	0	n
gentille la	1	1	0	n
non le	3	3	0	n
{ rit	3	3	0	
veux te	8	0	8	v
as a	1	0	1	v
de cinq	1	1	0	six
amuser à	1	0	1	la
est embauché	1	0	0	
là se	1	0	1	v
joyeux anniversaire	1	0	0	de
où est	3	1	0	le
les vertes	1	0	0	comme
voiture ce	1	1	0	que
roule et	1	0	1	puis
bien du	1	1	0	n
parce+que les	1	1	0	n
table elle	1	0	1	v
verras on	1	0	0	v
une euh	1	1	0	une
nourrir pour	1	0	1	v
en mandarine	1	0	0	
contre la	1	1	0	n
tu l'	29	0	28	as
le deuxième	1	1	0	il
dit le	6	5	0	vieux
dame elle	1	0	1	v
lait à	1	1	0	ses
mets l'	1	1	0	un
combien des	1	1	0	n
une jolie	2	2	0	petite
Espagne et	1	0	1	puis
hop tu	1	0	1	v
vite on	1	0	1	v
eddie l'	1	1	0	n
je révise	1	0	0	
faut mettre	2	0	0	des
peut se	4	0	4	v
le faire	8	1	6	v
chèvre de	1	1	0	n
au théâtre	1	1	0	
les grenouilles	1	1	0	
a quel	2	2	0	n
mettais à	1	0	1	l'
à moitié	1	0	1	de
ai mis	1	0	0	dans
{ catastrophe	1	1	0	on
toujours un	1	1	0	n
chacun dans	1	0	0	une
des oreilles	1	0	0	le
blessé le	1	1	0	n
toi qui	3	0	3	v
sortir la	1	1	0	n
vas le	11	1	10	v
chambre le	1	1	0	n
un+peu euh	1	0	0	v
faut surtout	1	0	1	que
ben quel	1	1	0	n
lesquels on	1	0	1	v
quand la	2	2	0	n
met la	1	1	0	n
appelle pas	1	0	0	v
le même	7	7	0	n
oui mais	2	0	0	il
peut pas	4	0	3	v
dodo le	1	1	0	n
va falloir	3	0	3	qu'
pouvoir s'	1	0	1	v
une piplette	1	0	1	
souviens bien	1	0	1	que
fil de	1	1	0	ton
garçon aux	1	1	0	n
langue elle	1	0	1	v
voix celui+là	1	1	0	il
{ ta	4	4	0	n
sept huit	1	0	0	neuf
sont pas	4	1	1	v
{ quatre	2	2	0	cinq
vois ça	3	1	2	v
façon et	1	1	0	puis
{ beau	2	2	0	n
poussins jouent	1	0	0	avec
chantais joyeux	1	1	0	n
{ tes	6	6	0	n
jusqu' au	1	0	0	n
donc je	1	0	1	le
appuyer et	1	0	1	puis
dessus pour	1	0	1	v
est caché	5	1	0	sous
est assez	2	0	0	grosse
il dit	1	0	0	caké
tasse pour	1	0	1	v
t' entendre	1	0	1	v
tes grosses	1	1	0	n
petits lapins	3	2	0	ils
sera une	1	1	0	n
fini les	1	1	0	n
ces petits	2	2	0	n
tant de	1	1	0	n
veux rester	1	0	0	en
où habite	1	0	0	dans
euh le	4	3	0	n
attends on	2	0	2	v
{ aux	2	2	0	petits
qu' elles	1	0	0	sont
coton les	1	0	0	n
mettre deux+cents+cinquante	1	1	0	n
vite il	1	0	1	v
entendre puis	1	0	0	tu
continues la	1	1	0	n
à voix	1	0	0	aussi
à mon	2	2	0	n
ai jamais	2	0	2	vu
ton livre	1	1	0	de
deux lumières	1	0	0	sont
moi j'	6	0	4	ai
comme ta	1	1	0	petite
