viande	11
plein	81
petit+suisse	3
travers	10
inondation	1
allumette	4
recette	4
serpillière	1
fonction	2
bécassine	4
allant	1
merle	2
habit	12
statique	1
short	4
promenade	3
corde	8
gaz	1
recherche	2
barrière	24
place	118
fond	18
salopette	6
chaussure	68
paralysé	1
savon	12
chaise+haute	1
cellier	2
aide	14
flamme	4
déjeuner	7
prétexte	1
cascade	14
fusée	8
marguerite	1
chargement	2
étoffe	1
rigolo	18
quatorze	1
consigne	1
envolée	4
minéral	1
pile	17
carrosse	1
gravier	1
casquette	18
demi+heure++demi+heure	2
b	2
artiste	4
frite	2
scierie	2
côte	1
tablier	11
colline	1
casserole	21
tordu	1
nid	10
bûche	1
bordure	1
regard	1
chevelure	1
jouet	47
volant	6
tirée	1
lave+vaisselle	7
cacahouète	1
fourmi	10
brousse	4
robe	7
praline	1
pulpe	1
cocher	1
contraire	3
honte	1
chère	1
raison	40
tortillon	7
robinet	5
léopard	4
luge	7
cheville	2
chouchou+chouchou	9
vallée	1
hiver	2
cactus	1
convalescence	1
hi+han	3
poussette	25
message	3
roquefort	3
papie	2
sec	4
fois	194
pneus	4
scarabée	1
importance	2
zéro	1
amateur	2
possibilité	1
madame	40
joint	1
pied	182
avant	57
tresse	1
agrafe	1
menton	11
visite	2
flamand	2
poire	30
attaque	1
croquis	1
étiquette	16
quatre	68
maquillage	8
y	1
tourterelle	3
fronce	1
prénom	8
quart	1
bruit	185
dur	27
aliment	2
montée	3
tatie	3
pression	1
malin	10
radio	1
bas	46
kiwi	1
poli	1
service	2
rangement	4
punition	1
appareil	9
grabouillage	1
biberon	84
cow+boy	4
taille	8
vide	11
gelée	1
fourchette	26
naissance	1
mollet	7
développement	1
ancêtre	1
dînette	8
nappe	1
mont	31
marché	4
dent	48
langage	2
boa	1
licorne	1
inutile	1
grenouille	29
lessive	3
sujet	1
chien	116
escorte	1
spécialiste	1
phacochère	2
scratch	1
étoile	27
sou	20
basse+cour	2
anniversaire	20
mot	25
carte	101
catapulte	1
riz	2
zouave	1
concerto	1
berceuse	1
gare	1
appareil+photo	7
tamis	1
toit	38
hydravion	1
souvenir	3
pare+chocs	2
foi	4
paix	4
sieste	19
ligne	14
bazard	5
picotte	3
casse+tête	1
sauteur	2
limite	3
fruit	46
caca	33
galipette	6
pont	11
babines	1
salon	6
renne	3
an	54
safari	5
socle	2
valet	3
